,Book,Cover
0,人人可懂的数据科学,https://img1.doubanio.com/view/subject/s/public/s33515109.jpg
1,新机器智能,https://img2.doubanio.com/view/subject/s/public/s34329461.jpg
2,活得通透：《人间值得》终生践行篇,https://img2.doubanio.com/view/subject/s/public/s34255492.jpg
3,小时候真傻，居然盼着长大,https://img2.doubanio.com/view/subject/s/public/s33836321.jpg
4,数学之美（第三版）,https://img2.doubanio.com/view/subject/s/public/s33621061.jpg
5,天才与算法,https://img1.doubanio.com/view/subject/s/public/s33607928.jpg
6,今日简史,https://img2.doubanio.com/view/subject/s/public/s34207682.jpg
7,AI·未来,https://img9.doubanio.com/view/subject/s/public/s29872945.jpg
8,清华：一个普通高中生的圆梦笔记,https://img9.doubanio.com/view/subject/s/public/s32297966.jpg
9,Python数据结构与算法分析（第2版）,https://img2.doubanio.com/view/subject/s/public/s33450653.jpg
10,生命之数,https://img9.doubanio.com/view/subject/s/public/s33629515.jpg
11,娱乐至死,https://img9.doubanio.com/view/subject/s/public/s28048575.jpg
12,美丽的数学,https://img2.doubanio.com/view/subject/s/public/s33638211.jpg
13,互联网没有记忆,https://img9.doubanio.com/view/subject/s/public/s33735346.jpg
14,小王子的情书集,https://img9.doubanio.com/view/subject/s/public/s34243006.jpg
