,Title,Cover
0,贪婪的多巴胺,https://img1.doubanio.com/view/subject/s/public/s33973820.jpg
1,宋徽宗,https://img1.doubanio.com/view/subject/s/public/s29855169.jpg
2,C Primer Plus（第6版）中文版,https://img1.doubanio.com/view/subject/s/public/s29438897.jpg
3,精准学习,https://img1.doubanio.com/view/subject/s/public/s34477977.jpg
4,清单革命,https://img2.doubanio.com/view/subject/s/public/s29584163.jpg
5,老人与海,https://img9.doubanio.com/view/subject/s/public/s29961556.jpg
6,假如给我三天光明,https://img9.doubanio.com/view/subject/s/public/s8462265.jpg
7,别逗了，费曼先生,https://img1.doubanio.com/view/subject/s/public/s33477519.jpg
8,行为设计学(零成本改变)(精),https://img2.doubanio.com/view/subject/s/public/s29865512.jpg
9,永恒的图灵,https://img1.doubanio.com/view/subject/s/public/s29759837.jpg
10,什么样的爱值得勇敢一次,https://img9.doubanio.com/view/subject/s/public/s34387926.jpg
11,科学：无尽的前沿,https://img1.doubanio.com/view/subject/s/public/s33890947.jpg
12,人工智能：知识图谱前沿技术,https://img9.doubanio.com/view/subject/s/public/s33705866.jpg
13,脑与数学,https://img2.doubanio.com/view/subject/s/public/s34159161.jpg
14,克拉拉与太阳,https://img9.doubanio.com/view/subject/s/public/s33821754.jpg
